Price,Adj Close,Close,High,Low,Open,Volume,20_SMA,50_SMA,ATR,ADX,Regime
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,
Date,,,,,,,,,,,
2023-10-19,19624.69921875,19624.69921875,19681.80078125,19512.349609375,19545.19921875,230300,19659.794921875,19623.378046875,122.625,40.10036621541999,Trending
2023-10-20,19542.650390625,19542.650390625,19593.80078125,19518.69921875,19542.150390625,198300,19649.8099609375,19622.8140625,115.47516741071429,37.799637859914945,Trending
2023-10-23,19281.75,19281.75,19556.849609375,19257.849609375,19521.599609375,176000,19630.1849609375,19615.798046875,126.57882254464286,33.80624997454895,Trending
2023-10-27,19047.25,19047.25,19076.150390625,18926.650390625,18928.75,205200,19528.73251953125,19588.21203125,149.88602120535714,25.40521559224299,Ranging
2023-10-30,19140.900390625,19140.900390625,19158.5,18940.0,19053.400390625,180100,19509.6,19581.7300390625,157.74679129464286,22.568486884805605,Ranging
2023-10-31,19079.599609375,19079.599609375,19233.69921875,19056.44921875,19232.94921875,206000,19481.66494140625,19576.01703125,159.52525111607142,21.238664254150088,Ranging
2023-11-01,18989.150390625,18989.150390625,19096.05078125,18973.69921875,19064.05078125,194100,19454.6849609375,19569.59703125,162.3896484375,23.413773739570217,Ranging
2023-11-02,19133.25,19133.25,19175.25,19064.150390625,19120.0,245600,19439.54248046875,19564.3900390625,165.27887834821428,25.86818936219896,Ranging
2023-11-06,19411.75,19411.75,19423.0,19309.69921875,19345.849609375,180700,19411.6974609375,19560.428046875,159.50027901785714,25.685803292979664,Ranging
2023-11-30,20133.150390625,20133.150390625,20158.69921875,20015.849609375,20108.5,486600,19602.84990234375,19591.0299609375,116.46791294642857,52.344053617296474,Trending
2023-12-01,20267.900390625,20267.900390625,20291.55078125,20183.69921875,20194.099609375,265800,19666.78740234375,19592.5409765625,118.06082589285714,57.597956171209994,Trending
2023-12-04,20686.80078125,20686.80078125,20702.650390625,20507.75,20601.94921875,381100,19744.46494140625,19603.6109765625,123.27859933035714,63.80993902954642,Trending
2023-12-05,20855.099609375,20855.099609375,20864.05078125,20711.150390625,20808.900390625,421000,19825.68994140625,19622.6849609375,128.5107421875,69.0299858115881,Trending
2023-12-06,20937.69921875,20937.69921875,20961.94921875,20852.150390625,20950.75,359200,19901.98740234375,19646.591953125,128.24288504464286,72.78693397984458,Trending
2023-12-07,20901.150390625,20901.150390625,20941.25,20850.80078125,20932.400390625,275000,19976.7099609375,19671.1299609375,116.97140066964286,74.79287033066751,Trending
2023-12-08,20969.400390625,20969.400390625,21006.099609375,20862.69921875,20934.099609375,292400,20053.00498046875,19697.026953125,117.31780133928571,75.88399614205822,Trending
2023-12-11,20997.099609375,20997.099609375,21026.099609375,20923.69921875,20965.30078125,212900,20133.094921875,19723.6749609375,118.49288504464286,77.02214897940964,Trending
2023-12-12,20906.400390625,20906.400390625,21037.900390625,20867.150390625,21018.55078125,244900,20207.1474609375,19747.473984375,125.32868303571429,77.47385298020116,Trending
2023-12-13,20926.349609375,20926.349609375,20950.0,20769.5,20929.75,260300,20281.28740234375,19775.5299609375,129.52859933035714,77.19237596506946,Trending
2023-12-14,21182.69921875,21182.69921875,21210.900390625,21074.44921875,21110.400390625,334400,20356.64990234375,19806.4179296875,132.96079799107142,76.9608598120642,Trending
2023-12-15,21456.650390625,21456.650390625,21492.30078125,21235.30078125,21287.44921875,508800,20441.2224609375,19844.9759375,146.74651227678572,78.16782596410687,Trending
2023-12-18,21418.650390625,21418.650390625,21482.80078125,21365.349609375,21434.80078125,249700,20525.56494140625,19884.626953125,146.78948102678572,79.27539521297828,Trending
2023-12-19,21453.099609375,21453.099609375,21505.05078125,21337.75,21477.650390625,249800,20613.519921875,19922.7739453125,148.14313616071428,79.55448598317108,Trending
2023-12-20,21150.150390625,21150.150390625,21593.0,21087.349609375,21543.5,363900,20681.857421875,19952.706953125,174.05747767857142,79.02718662669562,Trending
2023-12-21,21255.05078125,21255.05078125,21288.349609375,20976.80078125,21033.94921875,277500,20754.01748046875,19987.5609765625,188.60728236607142,76.7986391166029,Trending
2023-12-22,21349.400390625,21349.400390625,21390.5,21232.44921875,21295.849609375,284700,20831.3875,20020.7519921875,185.97516741071428,73.48675955225919,Trending
2023-12-26,21441.349609375,21441.349609375,21477.150390625,21329.44921875,21365.19921875,219500,20913.72001953125,20053.3519921875,185.60379464285714,69.93675940040883,Trending
2023-12-27,21654.75,21654.75,21675.75,21495.80078125,21497.650390625,256500,21001.97255859375,20090.5669921875,190.61453683035714,66.34887980141454,Trending
2023-12-28,21778.69921875,21778.69921875,21801.44921875,21678.0,21715.0,393100,21086.0775390625,20131.1199609375,192.9716796875,63.38745006918892,Trending
2023-12-29,21731.400390625,21731.400390625,21770.30078125,21676.900390625,21737.650390625,270900,21165.9900390625,20171.11296875,189.40025111607142,60.62371473565707,Trending
2024-01-01,21741.900390625,21741.900390625,21834.349609375,21680.849609375,21727.75,154000,21239.6900390625,20209.7209765625,193.05022321428572,58.01464735644846,Trending
2024-01-02,21665.80078125,21665.80078125,21755.599609375,21555.650390625,21751.349609375,263700,21288.6400390625,20249.615,195.13588169642858,55.626750788004856,Trending
2024-01-03,21517.349609375,21517.349609375,21677.0,21500.349609375,21661.099609375,311900,21321.7525390625,20287.4680078125,194.86090959821428,53.76248998911313,Trending
2024-01-04,21658.599609375,21658.599609375,21685.650390625,21564.55078125,21605.80078125,339200,21357.79755859375,20329.7869921875,193.76436941964286,51.25250993198363,Trending
2024-01-05,21710.80078125,21710.80078125,21749.599609375,21629.19921875,21705.75,309300,21398.280078125,20378.3680078125,184.00725446428572,47.85608734836247,Trending
2024-01-08,21513.0,21513.0,21763.94921875,21492.900390625,21747.599609375,231500,21425.46005859375,20426.185,194.978515625,43.912587326893586,Trending
2024-01-09,21544.849609375,21544.849609375,21724.44921875,21517.849609375,21653.599609375,228600,21452.84755859375,20479.9369921875,197.78557477678572,40.84235895492824,Trending
2024-01-10,21618.69921875,21618.69921875,21641.849609375,21448.650390625,21529.30078125,217000,21488.4625,20531.3659765625,175.46763392857142,38.890948150448544,Trending
2024-01-11,21647.19921875,21647.19921875,21726.5,21593.75,21688.0,212500,21524.50498046875,20581.491953125,162.6962890625,38.89049625523529,Trending
2024-01-12,21894.55078125,21894.55078125,21928.25,21715.150390625,21773.55078125,294700,21560.09755859375,20637.7909765625,166.62834821428572,39.104844354107044,Trending
2024-01-15,22097.44921875,22097.44921875,22115.55078125,21963.55078125,22053.150390625,345500,21592.1375,20699.956953125,166.93540736607142,39.67333954574895,Trending
2024-01-16,22032.30078125,22032.30078125,22124.150390625,21969.80078125,22080.5,292400,21622.82001953125,20757.93796875,165.10686383928572,39.77188410015971,Trending
2024-01-17,21571.94921875,21571.94921875,21851.5,21550.44921875,21647.25,456000,21628.7625,20804.7649609375,177.79268973214286,37.21769801802903,Trending
2024-01-18,21462.25,21462.25,21539.400390625,21285.55078125,21414.19921875,387300,21644.36748046875,20845.7749609375,189.25334821428572,34.30891227866908,Trending
2024-01-19,21622.400390625,21622.400390625,21670.599609375,21575.0,21615.19921875,343100,21662.7349609375,20890.088984375,185.11760602678572,31.047697498237948,Trending
2024-01-23,21238.80078125,21238.80078125,21750.25,21192.599609375,21716.69921875,449700,21657.20498046875,20925.995,210.66768973214286,28.268274439858214,Trending
2024-01-24,21453.94921875,21453.94921875,21482.349609375,21137.19921875,21185.25,407500,21657.8349609375,20967.16796875,222.70340401785714,25.189271493233736,Ranging
2024-01-25,21352.599609375,21352.599609375,21459.0,21247.05078125,21454.599609375,418100,21642.72744140625,21005.71296875,229.19266183035714,22.655118656839104,Ranging
2024-01-29,21737.599609375,21737.599609375,21763.25,21429.599609375,21433.099609375,376700,21640.6724609375,21051.5939453125,244.4248046875,20.474071344082745,Ranging
2024-01-30,21522.099609375,21522.099609375,21813.05078125,21501.80078125,21775.75,375100,21630.207421875,21088.526953125,247.29631696428572,19.704053966160238,Ranging
2024-01-31,21725.69921875,21725.69921875,21741.349609375,21448.849609375,21487.25,410600,21629.39736328125,21127.736953125,253.43205915178572,18.178948749614307,Ranging
2024-02-01,21697.44921875,21697.44921875,21832.94921875,21658.75,21780.650390625,332500,21630.97978515625,21167.049921875,252.07491629464286,17.329628301460662,Ranging
